x=1, n=13, |dx| = 0.5
8,3.4489678189716702090858052513495558964966332236829749167658406297e-9,6.2381013237699649297116075735941045466678587543969424996183956392e-10
9,8.0185753795985011476614274411580679000059608338943321232092167995e-12,1.0645819358115589095380735495109085839287683796279829171387251664e-12
relative error = 2.0589315619e-32

x=7, n=9, |dx| = 0.5
i,p_i,q_i
0,1.8727843350984671393934879099175975689578406640600764011942327651e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.3089281747600146499098331722917884824582096139942989666954757171e0,6.1693328759070886093279384469220848034585724869092027616066826119e-1
2,3.8035087397481299326747379848308290314824988132389080061011549019e-1,1.5879510174349570786796346567403460605953620457798806257291783993e-1
3,5.9735599712372835673911346250690790917851435298754663803193081723e-2,2.2112553511006607820019499008097658892512194488489446751182667729e-2
4,5.5116163988821765210460694845922799330859418094022340294785397315e-3,1.8057782003758388963722758749323763526000212040089302476070023761e-3
5,3.0366544093284670386577582478563955497318791031528082576217017139e-4,8.7596548735474524753988769054558210013577625513900004265768519655e-5
6,9.6906163861760560724118043741308623962927147833094564716835653785e-6,2.4360091720228667038290007376118254334056653614093066958462198428e-6
7,1.6437143032663110143812634223565176055394590995300072835169188263e-7,3.5324362427799452944246388693105035216088437010010090241886482979e-8
8,1.2278564468067012120775713782744886405915598540490076901647496435e-9,2.1698466698064466874971526493090315238815813705764999051315801433e-10
9,2.4928263771745041311962017042767505581890683057570356046241989559e-12,3.2537802684188467927162106540556327517324452697402639235057857413e-13
relative error = 1.4060286976e-33

x=8, n=9, |dx| = 0.5
i,p_i,q_i
0,2.0156414779556099965363450527747404261006978069172192583370899080e0,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,1.2358011033739810465105362995296978997124327517460981487613893139e0,5.4705368029950479920580887044695329858796253627632767603685533547e-1
2,3.1582785878399097283231439302766886917292203205508576045828215995e-1,1.2494511164994096917347366616221860015510656089681244977576960494e-1
3,4.3715166317919469046541629465800663124863708989487414851596753621e-2,1.5448405926479139582392211361640983413298205998834153969665925194e-2
4,3.5606805802024276878022943236055594269738297081627396823243784968e-3,1.1207715640486125058647702887421146825603464554786313119638527718e-3
5,1.7341226353080897699973166285542576292851648314912813184425041834e-4,4.8324331684315666002811695362164968512979485010346339755951879093e-5
6,4.8967763937382176709573338235534415958830933358120402998650415853e-6,1.1950196583565144714724054928830688601508406181841186956846130403e-6
7,7.3548006483154459075804790147979332538948007505598171940054170296e-8,1.5415292672114453928519608324182583762248345033633136420009432799e-8
8,4.8665169048283066840323226302505983352061360345045172067087464595e-10,8.4260683457867492745552580837179227362535697399052242308747021939e-11
