x=2, n=14, |dx| = 0.5
4,7.6940646770888695350549965527705193099462020838608310579052524159e-3,6.9990543831884365558449741001981536875046766809933870572162518641e-5
5,2.5381467610572627328278129258909314625687763751249090829205104296e-4,1.1793897327043263275171085166478997413888669751770000904258751960e-6
6,4.6277344067353437158486715565110226815179719849565704347130248725e-6,8.9164122594119601443218645983454490128788961895231631546759351738e-9
7,4.0690765207760405485996209117243833896624867365767238681461260526e-8,2.0040236724149898024031278407558271717637022830687604330434836500e-11
8,1.2124435312739132206283772261340865500818980785788671351252923306e-10,-4.0282598729430149146598093625585693193022470862028054916868081999e-15
relative error = 2.0845638185e-33

x=13, n=8, |dx| = 0.5
i,p_i,q_i
0,1.9987214495661886149517362387055078512502448424772613607383525405e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,8.0158616980807488579704888089543590984767789294395587209008578327e0,2.7466892327408346812164569572312257069850820859295556883785921426e-1
2,1.3364360620235612893299012437537814099410377327311206458468814717e0,3.0151525988745103807312977843335522809243398174371997194218579797e-2
3,1.1978437162605667587357424887246250514312213049752983761500414666e-1,1.6863692177879110598055412732841677696412055673428648955885210252e-3
4,6.2277901546097925523369561440382830157485650630551346546544318884e-3,5.0662034123372982347104408156434994852819200838792652131134652582e-5
5,1.8866477553153504454901723206315989550706206568010965903571885462e-4,7.8747665439733413692153056299892570093604516615282474036976733925e-7
6,3.1596068154360284814770531494765373311240161234322312697926827829e-6,5.4925176420582540421165016893966537722836051008549043976135442257e-9
7,2.5521150281255331906520594490065595024071608987882136834038262040e-8,1.1397224285473298350541037101763393600534356009749039248572489535e-11
8,6.9850464822827654980905764297539776002813837478943220842163216717e-11,-2.0841944742075882900597973777212085172769473031674592965140736647e-15
relative error = 4.8469619562e-34

x=14, n=8, |dx| = 0.5
i,p_i,q_i
0,2.2552163853123422885570849828620397117307716369532820723802570916e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,8.3506334616010056821983247451760663787200533225224741695541789892e0,2.5486314345719592818970099484817236226814713189173166495881590733e-1
2,1.2858627678830525917561672541895439288128740075851939990232165724e0,2.5960025420433346361752231041608466759297115386548884727250640555e-2
3,1.0647714947601224161580829162129317618526716965191767270144690345e-1,1.3472545853610467346886449615320147045004935282349768935617081728e-3
4,5.1158492672298784284677828879328297308752842398712660111053363303e-3,3.7556791646837202274145539223928156890708458532603917047824604063e-5
5,1.4325202423555706928762414952612958255468584837712965487326764048e-4,5.4171675099785157701109388048205132004139220032763555172247613138e-7
6,2.2179010418590610889691836667707453353672860814686400654487317058e-6,3.5066633339921079948557449338832837338047526100085257580907416314e-9
7,1.6563116591115815074647102554867029742582268886233086804030944332e-8,6.7576346413092092978876545496077631068636358224884605983065752294e-12
8,4.1908353654099955395774552964974806039813646793722632196491270418e-11,-1.1323319600252705028451596836207380904759808788134915737905032432e-15
relative error = 1.2613936562e-34

x=15, n=8, |dx| = 0.5
i,p_i,q_i
0,2.5191221182738681500093434693521753415020301233474937166382641075e1,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,8.6624141791451783575094304526219428345882855446304815244009309771e0,2.3770453500632507420504675597681696258296462218870308023941343789e-1
2,1.2390482243973052395252008390633008023686275129633072239704622766e0,2.2582262951486696245716676262010492817844780957766086009768453080e-2
3,9.5330228861263899986708084918942909469706500547628886337335854018e-2,1.0930685553725918881514402541346655352934233145659072910496649301e-3
4,4.2566416629529732488582379233967451239865392320275661412126225815e-3,2.8420355868973007042525854814034861630167299709825543233927762602e-5
5,1.1079084749484366307420975200864530909589161009249429661512521794e-4,3.8236283853426918844612925418624453117076231601633641483349122486e-7
6,1.5946141512736368341785612011640085598842695633101234739634429635e-6,2.3089522359158069706652604355560196294386049908639138736589590442e-9
7,1.1071015097458048440216572136812157799216951218200659811048258687e-8,4.1533001500939057896586843447436218160317197856597781585831063846e-12
8,2.6039344098749555192891074671339024406787691626046962991049823737e-11,-6.4163684260421426981355100581447919827577677154128738231806265622e-16
