x=1, n=9, |dx| = 0.5
6,6.1434691504193948741702442181502516783644361624442561768598081489e-3,-3.0024334493495606335454912643250602398952164583982243320389907838e-4
7,4.6892920450356643016610349350612442621144317478910798337224234224e-4,2.2585588834428359674988570397870260491832202322314913349362305336e-5
8,2.1769746058684522179310330958896886492714432054862812497968074344e-5,-7.1570722283110218966500726563105998584863941460070674002355641410e-7
relative error = 8.5453410534e-19

x=6, n=8, |dx| = 0.5
i,p_i,q_i
0,1.2000000000000000000000000000000000000000000000000000000000000000e2,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,9.3421702474997364015085032224033116401055879981145846834441242460e1,-9.2760348114015577260111264138398826561570833088386101090722241128e-1
2,3.8869088360605679900888602716037017950729938180360028628769632336e1,3.6042953100763897839652484691339423875607218572799710564958312816e-1
3,1.0662373933680953587479635738081185937592385832122719122891250105e1,-6.8852082376877222217250611558025219723979036700824003592612734855e-2
4,2.1080864280066637964113248285146457675383639689419045278980075991e0,3.7082554656112530316183007901127248479634670895362394889808163777e-3
5,3.0586289326918854889064531215795257149837898094108481093135134115e-1,1.2054424306265451641061373591943655758728125212288020464291436999e-3
6,3.2212632745833957502543780295571036730773169317068332367980300814e-2,-3.0343290345828323768602108037106787486584610157797653029168326224e-4
7,2.2691674235782572982921123747655542260234333833851058208980088220e-3,3.0471809424528870838529239232141629449819154181747894017085907305e-5
8,8.6975508418957153385321772411262116012986290445889156939880146722e-5,-1.2558675383829483017296858655179415019432735369582515917822710511e-6
relative error = 1.0653831916e-18

x=7, n=8, |dx| = 0.5
i,p_i,q_i
0,7.2000000000000000000000000000000000000000000000000000000000000000e2,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,5.3831464777779795611726867564097385101664481612722682801086602566e2,-1.1251251020737477558972814159718005536569450861055946956235855073e0
2,2.1660949502122998406379411553495180449502914368967575590514558031e2,5.7753001517782548209266911237121171637442344494878909753160959356e-1
3,5.7527701065020420967881795229875448790436489852620297273816676908e1,-1.7682271740053923784877147533187747976848317471491347075297082737e-1
4,1.1031992365242602356287714226367258714991728979793604154893168790e1,3.5332097360199111915646121041491638056191789414242003884993411806e-2
5,1.5532072057014012746294363834148161592888212561204770434751631720e0,-4.7137098803660913866526014453573292277750792165463318667864248800e-3
6,1.5895999615497565517325016751893725918197021738327229394879210841e-1,4.0852070544506278940425961480379570502145400749194068223638504620e-4
7,1.0885177643049115535260221884284126009180912556315342968466525953e-2,-2.0820036585695051459702889946565355572235432552061863614818728677e-5
8,4.0760731580453616150117211647418581789266411105818038210996964456e-4,4.6539696970097376090703447190362354263538035454964524602087259192e-7
relative error = 5.8999873049e-19

x=8, n=8, |dx| = 0.5
i,p_i,q_i
0,5.0400000000000000000000000000000000000000000000000000000000000000e3,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.9676196993502886650352047694464836379044349715222278998915186024e3,-1.2284153471321400233150742651861524027069607093929676908982965345e0
2,1.6007799477498107135928443671715826214019912857190464177512278982e3,6.9568620366020511019445258158398810423421455887735409191579955736e-1
3,4.1849292495567012669691681207033709726845559785998428547127450496e2,-2.3812635348068576625806687751392577435602497365542621637115304422e-1
4,7.7161027948824439855885124406633779294021474059830473206419642893e1,5.4114444357808812615430062045926620600965940164673501538296857907e-2
5,1.0242980310148770938827810665297019761622478466570373868335679751e1,-8.4024996451287546113241508112842370612053559883974706340656669503e-3
6,9.5983042046380900489853139774908065821972108598157555526361148546e-1,8.7572002318354103481517428218310619244871352055890885507629800899e-4
7,5.8321869000692450449862690119891689605105184518951068125774485179e-2,-5.6408928915602273094347100851189856558015737908676020508746827031e-5
8,1.7926897653115265977069556342660071111694851530814514450278623112e-3,1.7343325602114692479843523344805711234983574156605968465700447363e-6
relative error = 6.9324050169e-19

x=9, n=8, |dx| = 0.5
i,p_i,q_i
0,4.0320000000000000000000000000000000000000000000000000000000000000e4,1.0000000000000000000000000000000000000000000000000000000000000000e0
1,3.5352661565747065935440487457130833503667391832664195677844089335e4,-1.2638393557892641152010155027466939602359311444007461512477027717e0
2,1.5395442518980533090647436547089649014766235053228781541551822776e4,7.3732938223725629556569944680247941442149120219964534127553786764e-1
